::1 - Mon Oct 17 2022 10:09:02 GMT+0530 (India Standard Time) - POST /api/chitchat HTTP/1.1 500 58 - 540 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:14:56 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:14:56 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 16 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:15:57 GMT+0530 (India Standard Time) - OPTIONS /api/artist-type HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:15:57 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter= HTTP/1.1 200 8 - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:15:57 GMT+0530 (India Standard Time) - GET /api/artist-type HTTP/1.1 304 - - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:15:57 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter= HTTP/1.1 304 - - 8 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:18:09 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 805 - 24 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:18:14 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 805 - 4 - PostmanRuntime/7.29.2
::1 - Mon Oct 17 2022 10:18:33 GMT+0530 (India Standard Time) - GET /artist HTTP/1.1 401 59 - 2 - PostmanRuntime/7.29.2
